pdb_id,pdb_id_2,chain_1_elements,chain_2_elements,chain_2.1,total_chains,chain_1_id,chain_2_id,chain_1,chain_2,chain_1_protein_name,chain_2_protein_name,chain_1_organism,chain_2_organism,chain_1_aa_len,chain_2_aa_len,percent_of_simmilariry,protein_pair_type,chain_1.1
1I50,1I50_1_2,A,B,2,"A,B",1I50_1,1I50_2,1,2,DNA-DIRECTED RNA POLYMERASE II LARGEST SUBUNIT,DNA-DIRECTED RNA POLYMERASE II 140KD POLYPEPTIDE,Saccharomyces cerevisiae (4932),Saccharomyces cerevisiae (4932),1733,1224,21.5371968762844,heteromeric proteins,1
4C3I,4C3I_1_2,A,B,2,"A,B",4C3I_1,4C3I_2,1,2,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,1203,22.6261762189906,heteromeric proteins,1
4C3I,4C3I_1_4,A,D,4,"A,D",4C3I_1,4C3I_4,1,4,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA14,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,137,7.84431137724551,heteromeric proteins,1
4C3I,4C3I_1_14,A,N,14,"A,N",4C3I_1,4C3I_14,1,14,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA34,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,233,11.6539140670983,heteromeric proteins,1
4C3I,4C3I_1_7,A,G,7,"A,G",4C3I_1,4C3I_7,1,7,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA43,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,326,13.7793024585477,heteromeric proteins,1
4C3I,4C3I_1_13,A,M,13,"A,M",4C3I_1,4C3I_13,1,13,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA49,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,415,16.4705882352941,heteromeric proteins,1
4C3I,4C3I_1_3,A,C,3,"A,C",4C3I_1,4C3I_3,1,3,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASES I AND III SUBUNIT RPAC1,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,335,14.2938822184105,heteromeric proteins,1
4C3I,4C3I_1_11,A,K,11,"A,K",4C3I_1,4C3I_11,1,11,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,DNA-DIRECTED RNA POLYMERASES I AND III SUBUNIT RPAC2,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,142,7.88530465949821,heteromeric proteins,1
4C3I,4C3I_1_5,A,E,5,"A,E",4C3I_1,4C3I_5,1,5,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 1",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,215,10.5944673337257,heteromeric proteins,1
4C3I,4C3I_1_6,A,F,6,"A,F",4C3I_1,4C3I_6,1,6,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 2",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,155,8.66188769414576,heteromeric proteins,1
4C3I,4C3I_1_8,A,H,8,"A,H",4C3I_1,4C3I_8,1,8,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 3",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,146,8.05970149253731,heteromeric proteins,1
4C3I,4C3I_1_10,A,J,10,"A,J",4C3I_1,4C3I_10,1,10,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA190,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 5",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1664,70,4.20673076923077,heteromeric proteins,1
4N78,4N78_1_5,A,"F,E",5,"A,F,E",4N78_1,4N78_5,1,5,Cytoplasmic FMR1-interacting protein 1,Abl interactor 2,Homo sapiens (9606),Homo sapiens (9606),1253,514,18.75,heteromeric proteins,1
4N78,4N78_1_2,A,B,2,"A,B",4N78_1,4N78_2,1,2,Cytoplasmic FMR1-interacting protein 1,Nck-associated protein 1,Homo sapiens (9606),Homo sapiens (9606),1253,1128,23.1764097258148,heteromeric proteins,1
4N78,4N78_1_3,A,D,3,"A,D",4N78_1,4N78_3,1,3,Cytoplasmic FMR1-interacting protein 1,Wiskott-Aldrich syndrome protein family member 1,Homo sapiens (9606),Homo sapiens (9606),1253,559,18.7418086500655,heteromeric proteins,1
3P8C,3P8C_1_4,A,"E,D",4,"A,E,D",3P8C_1,3P8C_4,1,4,Cytoplasmic FMR1-interacting protein 1,Probable protein BRICK1,Homo sapiens (9606),Homo sapiens (9606),1253,75,5.90111642743222,heteromeric proteins,1
1I50,1I50_2_3,B,C,3,"B,C",1I50_2,1I50_3,2,3,DNA-DIRECTED RNA POLYMERASE II 140KD POLYPEPTIDE,DNA-DIRECTED RNA POLYMERASE II 45KD POLYPEPTIDE,Saccharomyces cerevisiae (4932),Saccharomyces cerevisiae (4932),1224,318,16.2019593067069,heteromeric proteins,2
4C3I,4C3I_2_4,B,D,4,"B,D",4C3I_2,4C3I_4,2,4,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA14,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,137,10.1973684210526,heteromeric proteins,2
4C3I,4C3I_2_7,B,G,7,"B,G",4C3I_2,4C3I_7,2,7,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA43,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,326,16.8067226890756,heteromeric proteins,2
4C3I,4C3I_2_3,B,C,3,"B,C",4C3I_2,4C3I_3,2,3,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,DNA-DIRECTED RNA POLYMERASES I AND III SUBUNIT RPAC1,SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,335,16.6919575113809,heteromeric proteins,2
4C3I,4C3I_2_5,B,E,5,"B,E",4C3I_2,4C3I_5,2,5,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 1",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,215,12.8980891719745,heteromeric proteins,2
4C3I,4C3I_2_6,B,F,6,"B,F",4C3I_2,4C3I_6,2,6,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 2",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,155,10.586319218241,heteromeric proteins,2
4C3I,4C3I_2_8,B,H,8,"B,H",4C3I_2,4C3I_8,2,8,DNA-DIRECTED RNA POLYMERASE I SUBUNIT RPA135,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC 3",SACCHAROMYCES CEREVISIAE (4932),SACCHAROMYCES CEREVISIAE (4932),1203,146,10.4832104832105,heteromeric proteins,2
4N78,4N78_2_5,B,"F,E",5,"B,F,E",4N78_2,4N78_5,2,5,Nck-associated protein 1,Abl interactor 2,Homo sapiens (9606),Homo sapiens (9606),1128,514,18.8133140376266,heteromeric proteins,2
4N78,4N78_2_3,B,D,3,"B,D",4N78_2,4N78_3,2,3,Nck-associated protein 1,Wiskott-Aldrich syndrome protein family member 1,Homo sapiens (9606),Homo sapiens (9606),1128,559,19.4759206798867,heteromeric proteins,2
3P8C,3P8C_2_4,B,"E,D",4,"B,E,D",3P8C_2,3P8C_4,2,4,Nck-associated protein 1,Probable protein BRICK1,Homo sapiens (9606),Homo sapiens (9606),1128,75,6.46017699115044,heteromeric proteins,2
5XOJ,5XOJ_2_4,C,"F,E,G,D",4,"C,F,E,G,D",5XOJ_2,5XOJ_4,2,4,Exportin-1,Nup42p,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),Saccharomyces cerevisiae (strain FostersB) (764102),1047,35,3.34288443170965,heteromeric proteins,2
7DKH,7DKH_1_3,"I,E,A","K,G,C",3,"I,E,A,K,G,C",7DKH_1,7DKH_3,1,3,RNA polymerase-associated protein CTR9,Cell division control protein 73,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),972,57,5.8641975308642,heteromeric proteins,1
7DKH,7DKH_1_2,"I,E,A","F,B,J",2,"I,E,A,F,B,J",7DKH_1,7DKH_2,1,2,RNA polymerase-associated protein CTR9,RNA polymerase II-associated protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),972,103,9.35910478128179,heteromeric proteins,1
7DKH,7DKH_1_4,"I,E,A","D,L,H",4,"I,E,A,D,L,H",7DKH_1,7DKH_4,1,4,RNA polymerase-associated protein CTR9,RNA polymerase-associated protein RTF1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (559292),972,68,6.88591983556012,heteromeric proteins,1
8J8P,8J8P_1_2,"A,C",A,2,"A,C,A",8J8P_1,8J8P_2,1,2,CTR9-like protein,CDC73-like protein,Saccharomyces eubayanus (1080349),Saccharomyces eubayanus (1080349),908,81,8.32420591456736,heteromeric proteins,1
8J8P,8J8P_1_3,"A,C","P,C",3,"A,C,P,C",8J8P_1,8J8P_3,1,3,CTR9-like protein,PAF1-like protein,Saccharomyces eubayanus (1080349),Saccharomyces eubayanus (1080349),908,111,10.4008667388949,heteromeric proteins,1
8J8P,8J8P_1_4,"A,C",R,4,"A,C,R",8J8P_1,8J8P_4,1,4,CTR9-like protein,RTF1-like protein,Saccharomyces eubayanus (1080349),Saccharomyces eubayanus (1080349),908,77,8.00438596491228,heteromeric proteins,1
6UI1,6UI1_1_3,A,C,3,"A,C",6UI1_1,6UI1_3,1,3,BoNT/A,ciA-D12,Clostridium botulinum (1491),Vicugna pacos (30538),873,134,11.7647058823529,heteromeric proteins,1
6UI1,6UI1_1_2,A,B,2,"A,B",6UI1_1,6UI1_2,1,2,BoNT/A,ciA-H7,Clostridium botulinum (1491),Vicugna pacos (30538),873,123,10.4212860310421,heteromeric proteins,1
6Q0R,6Q0R_1_2,A,B,2,"A,B",6Q0R_1,6Q0R_2,1,2,DNA damage-binding protein 1,DDB1- and CUL4-associated factor 15,Homo sapiens (9606),Homo sapiens (9606),864,276,17.4047373841401,heteromeric proteins,1
6UE5,6UE5_2_4,B,D,4,"B,D",6UE5_2,6UE5_4,2,4,"DNA damage-binding protein 1,DNA damage-binding protein 1",DET1- and DDB1-associated protein 1,Homo sapiens (9606),Homo sapiens (9606),836,101,9.97652582159624,heteromeric proteins,2
6UE5,6UE5_2_3,B,C,3,"B,C",6UE5_2,6UE5_3,2,3,"DNA damage-binding protein 1,DNA damage-binding protein 1",RBM39,Homo sapiens (9606),Homo sapiens (9606),836,81,9.03686087990488,heteromeric proteins,2
2NVU,2NVU_2_4,B,"I,J",4,"B,I,J",2NVU_2,2NVU_4,2,4,Maltose binding protein/NEDD8-activating enzyme E1 catalytic subunit chimera,NEDD8,Homo sapiens (9606),Homo sapiens (9606),805,81,8.84520884520884,heteromeric proteins,2
2NVU,2NVU_2_3,B,C,3,"B,C",2NVU_2,2NVU_3,2,3,Maltose binding protein/NEDD8-activating enzyme E1 catalytic subunit chimera,NEDD8-conjugating enzyme Ubc12,Homo sapiens (9606),Homo sapiens (9606),805,180,14.6682188591385,heteromeric proteins,2
5L8R,5L8R_5_8,"E,A","H,D",8,"E,A,H,D",5L8R_5,5L8R_8,5,8,Photosystem I P700 chlorophyll a apoprotein A1,PsaD,Pisum sativum (3888),Pisum sativum (3888),758,143,13.0489335006274,heteromeric proteins,5
4Y28,4Y28_1_15,A,1,15,"A,1",4Y28_1,4Y28_15,1,15,Photosystem I P700 chlorophyll a apoprotein A1,Light-harvesting complex I chlorophyll A/B-binding protein,Pisum sativum (3888),Pisum sativum (3888),758,202,15.5234657039711,heteromeric proteins,1
4Y28,4Y28_1_10,A,"E,J",10,"A,E,J",4Y28_1,4Y28_10,1,10,Photosystem I P700 chlorophyll a apoprotein A1,"Photosystem I reaction center subunit IV A, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),758,66,7.7124183006536,heteromeric proteins,1
4Y28,4Y28_1_6,A,"F,G",6,"A,F,G",4Y28_1,4Y28_6,1,6,Photosystem I P700 chlorophyll a apoprotein A1,photosystem I reaction center,Pisum sativum (3888),Pisum sativum (3888),758,97,10.4651162790698,heteromeric proteins,1
6ZXS,6ZXS_1_14,A,2,14,"A,2",6ZXS_1,6ZXS_14,1,14,Photosystem I P700 chlorophyll a apoprotein A1,"Chlorophyll a-b binding protein, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),743,208,16.5441176470588,heteromeric proteins,1
6ZXS,6ZXS_1_13,A,1,13,"A,1",6ZXS_1,6ZXS_13,1,13,Photosystem I P700 chlorophyll a apoprotein A1,Lhca1,Pisum sativum (3888),Pisum sativum (3888),743,193,15.5555555555556,heteromeric proteins,1
6ZXS,6ZXS_1_8,A,H,8,"A,H",6ZXS_1,6ZXS_8,1,8,Photosystem I P700 chlorophyll a apoprotein A1,Photosystem I reaction center subunit VI,Pisum sativum (3888),Pisum sativum (3888),743,88,9.92063492063492,heteromeric proteins,1
6ZXS,6ZXS_1_7,A,G,7,"A,G",6ZXS_1,6ZXS_7,1,7,Photosystem I P700 chlorophyll a apoprotein A1,PsaG,Pisum sativum (3888),Pisum sativum (3888),743,97,10.8179419525066,heteromeric proteins,1
6ZXS,6ZXS_1_12,A,L,12,"A,L",6ZXS_1,6ZXS_12,1,12,Photosystem I P700 chlorophyll a apoprotein A1,PsaL domain-containing protein,Pisum sativum (3888),Pisum sativum (3888),743,157,15.0895140664962,heteromeric proteins,1
4XK8,4XK8_1_5,"A,a","E,e",5,"A,a,E,e",4XK8_1,4XK8_5,1,5,Photosystem I P700 chlorophyll a apoprotein A1,Putative uncharacterized protein,Pisum sativum (3888),Pisum sativum (3888),742,64,7.46666666666667,heteromeric proteins,1
4XK8,4XK8_1_4,"A,a","d,D",4,"A,a,d,D",4XK8_1,4XK8_4,1,4,Photosystem I P700 chlorophyll a apoprotein A1,Uncharacterized protein,Pisum sativum (3888),Pisum sativum (3888),742,141,13.2051282051282,heteromeric proteins,1
7DKZ,7DKZ_6_1,"F,B","A,1",1,"F,B,A,1",7DKZ_6,7DKZ_1,6,1,Photosystem I P700 chlorophyll a apoprotein A2,Lhca1,Pisum sativum (3888),Pisum sativum (3888),734,195,16.125,heteromeric proteins,6
7DKZ,7DKZ_6_16,"F,B",K,16,"F,B,K",7DKZ_6,7DKZ_16,6,16,Photosystem I P700 chlorophyll a apoprotein A2,PSI-K,Pisum sativum (3888),Pisum sativum (3888),734,80,9.55585464333782,heteromeric proteins,6
7DKZ,7DKZ_6_5,"F,B","E,A",5,"F,B,E,A",7DKZ_6,7DKZ_5,6,5,Photosystem I P700 chlorophyll a apoprotein A2,Photosystem I P700 chlorophyll a apoprotein A1,Pisum sativum (3888),Pisum sativum (3888),734,758,36.0072926162261,heteromeric proteins,6
7DKZ,7DKZ_6_9,"F,B","I,E",9,"F,B,I,E",7DKZ_6,7DKZ_9,6,9,Photosystem I P700 chlorophyll a apoprotein A2,PsaE,Pisum sativum (3888),Pisum sativum (3888),734,66,7.52688172043011,heteromeric proteins,6
7DKZ,7DKZ_6_11,"F,B","K,G",11,"F,B,K,G",7DKZ_6,7DKZ_11,6,11,Photosystem I P700 chlorophyll a apoprotein A2,PsaG,Pisum sativum (3888),Pisum sativum (3888),734,97,10.6524633821571,heteromeric proteins,6
7DKZ,7DKZ_6_12,"F,B","L,H",12,"F,B,L,H",7DKZ_6,7DKZ_12,6,12,Photosystem I P700 chlorophyll a apoprotein A2,PsaH,Pisum sativum (3888),Pisum sativum (3888),734,88,9.74632843791722,heteromeric proteins,6
7DKZ,7DKZ_6_15,"F,B",L,15,"F,B,L",7DKZ_6,7DKZ_15,6,15,Photosystem I P700 chlorophyll a apoprotein A2,PsaL,Pisum sativum (3888),Pisum sativum (3888),734,157,14.819587628866,heteromeric proteins,6
5L8R,5L8R_6_8,"F,B","H,D",8,"F,B,H,D",5L8R_6,5L8R_8,6,8,Photosystem I P700 chlorophyll a apoprotein A2,PsaD,Pisum sativum (3888),Pisum sativum (3888),734,143,13.0154639175258,heteromeric proteins,6
4XK8,4XK8_2_15,"B,b","3,8",15,"B,b,3,8",4XK8_2,4XK8_15,2,15,Photosystem I P700 chlorophyll a apoprotein A2,"Chlorophyll a-b binding protein 3, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),733,218,17.1182266009852,heteromeric proteins,2
4XK8,4XK8_2_16,"B,b","4,9",16,"B,b,4,9",4XK8_2,4XK8_16,2,16,Photosystem I P700 chlorophyll a apoprotein A2,"Chlorophyll a-b binding protein P4, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),733,196,16.4160401002506,heteromeric proteins,2
4XK8,4XK8_2_10,"B,b","J,j",10,"B,b,J,j",4XK8_2,4XK8_10,2,10,Photosystem I P700 chlorophyll a apoprotein A2,Photosystem I reaction center subunit IX,Pisum sativum (3888),Pisum sativum (3888),733,39,5.03401360544218,heteromeric proteins,2
4XK8,4XK8_2_11,"B,b","k,K",11,"B,b,k,K",4XK8_2,4XK8_11,2,11,Photosystem I P700 chlorophyll a apoprotein A2,Photosystem I reaction center subunit X psaK,Pisum sativum (3888),Pisum sativum (3888),733,84,9.95962314939435,heteromeric proteins,2
4XK8,4XK8_2_5,"B,b","E,e",5,"B,b,E,e",4XK8_2,4XK8_5,2,5,Photosystem I P700 chlorophyll a apoprotein A2,Putative uncharacterized protein,Pisum sativum (3888),Pisum sativum (3888),733,64,7.1236559139785,heteromeric proteins,2
4XK8,4XK8_2_14,"B,b","7,2",14,"B,b,7,2",4XK8_2,4XK8_14,2,14,Photosystem I P700 chlorophyll a apoprotein A2,Type II chlorophyll a/b binding protein from photosystem I,Pisum sativum (3888),Pisum sativum (3888),733,206,17.2284644194757,heteromeric proteins,2
4XK8,4XK8_2_4,"B,b","d,D",4,"B,b,d,D",4XK8_2,4XK8_4,2,4,Photosystem I P700 chlorophyll a apoprotein A2,Uncharacterized protein,Pisum sativum (3888),Pisum sativum (3888),733,141,12.6288659793814,heteromeric proteins,2
4RKU,4RKU_2_4,B,D,4,"B,D",4RKU_2,4RKU_4,2,4,Photosystem I P700 chlorophyll a apoprotein A2,"Photosystem I reaction center subunit II, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),731,137,13.0208333333333,heteromeric proteins,2
4RKU,4RKU_2_6,B,F,6,"B,F",4RKU_2,4RKU_6,2,6,Photosystem I P700 chlorophyll a apoprotein A2,"Photosystem I reaction center subunit III, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),731,152,13.6422136422136,heteromeric proteins,2
